Drink Name,Drink Color,Flavor Text,Drink Effect,Container,Price (GP)
Strawberry Surprise,A Light Pink,"Surprise! There ain't no strawberries in this drink, Strawberry Surprise, even though rosy in color, is actually mead made with the liquid from very hot peppers. It is made by brewers and sold to people who want to play tricks on their friends, or teach someone a lesson.","Make a CON saving throw DC 10 or drop the drink and appear foolish in front of your friends. If you make the save by more than 5, you may order another. If you make the second save, you gain advantage for any Check the next day.",Pint,0.05
Tamaranian Tanqueray & Zorkaberry Tonic,Cherry Red with Purple Swirls & Glowing Green Fruit,"An extremely rare drink, obtained by a group of spell-jamming adventurers. Fruity taste.","Make a CON saving throw DC 13. On a failure, you get a splitting headache and have disadvantage on Wisdom based rolls for the next hour. On a success, you gain the ability to float as per the Levitation spell for the next hour.",Pint,2
The Beveridge Brew,Dark Brown,"Made by the finest brewers in all the land, the Beveridge Brew has the initial taste of joy and happiness, but an aftertaste that reflects the texture and taste of dirt.",You immediately fall asleep and have delightful dreams for the next round. You awaken to the taste of dirt in your mouth.,Tankard,0.15
The Cranky Clergyman,Deep Opaque Black with Stark White Head,"Adapted from a well aged potion of Cure Wounds, this bitter drink feels and tastes like poison before entering stomach. A brief moment later, warm feelings emanate from the drinker's gut as some small wounds seal up. A tavern favorite for after-brawl drinks.","Make a CON saving throw DC 11. On a success, nothing happens. On a failure, you take {{Rand1-4}} poison damage. At the start of the next round you recieve {{Rand1-4+Rand1-4}} of healing.",Tankard,0.07
The Dwarven Hammer,A Gold Liquid that Suddenly Turns Black half way Down,"A mixture of strong, bitter ales, dark rum, and coffee. Most people put raw sugar on top of the foam to get a ""spark"" effect",You find the hair on their head (including beards for those with them) grows longer and thicker over the next round and remains that way for the next hour.,Tankard,0.15
The Ghillain Special,A Dark Beer served with a Skewer of Bacon & Pickles,"A tall glass broth served with a kebab of pickles and bacon staked through it. The combination of beer served with the sides makes it a flavour combination to behold, mixing sour, sweet and savory all into one.",You feel inspired. You gain a +5 to any Performance or Sleight of Hand checks made to do something creative or artistic for the next hour. Any food cooked after you feel the effects of this drink gives anyone that consumes it a +1 to Charisma based checks for 10 minutes.,Glass,8
The Hairy Wizard,Various Shades of Brown,Strong to the taste but can leave an itchy sensation in the throat,"After consuming 4 drinks, make a CON saving throw DC 14. On a success, you become drunk for the rest of the evening. On a failure, you begin to throw up hairballs similar to a cat.",Tankard,0.3
The Mind's Eye,A Purplish Blue Liquid that Sparkles & Swirls like a Galaxy,"Staring at it is almost hypnotising. Its flavour is distinctly something magical but you can't quite put your finger on what it might possibly be. The flavour changes and dances across your tongue as your mind begins to peel open, revealing what was once lost to you. One of the few alcoholic drinks to actually make you feel and be smarter upon consumption.",You gain +2 to Wisdom and Intelligence based checks for the next 2 hours. You wake up the next moring to an almost soul-crushing hangover as it feels like your skull has been split in two.,Pint,0.2
The Mindflayer,Blueish Purple,"Brewed with the sole intent of forgetting whatever trouble you may cause under it's influence. The Mindflayer, has had many of its imbibers waking up in jail, or naked in a puddle of their own vomit and piss, or even one poor fella in bed with a deformed goblin named Bob...","After taking a shot, your Intelligence score is decreased by 10 (minimum of 1) until your next lost rest. After completing a long rest, your Intelligence score is decreased by 5 until your second long rest.",Shot,1
The Pepperbox,Light Smoke-Gray,"This drink is made in summer from Aurochs milk mixed with 6 different kinds of peppers, which is then left to ferment until winter. It has a strong, unsavory taste and his explosively hot for the throat even if you drink it cold.",You gain Resistance to Cold Damage for the next 10 minutes.,Shot,1
The Redheaded Harlot,Deep Amber Red & Thick like Blood,"It is made from fermented berries, Tree Ent Root, and Deer's blood. The rim of the flagon or glass is also coated in honey and dipped in a red sweet powder that is to be licked before pounding down the drink.",You feel yourself become more outgoing and charming. You gain Advantage to Charisma based checks for the next hour.,Glass,5
Travera's TIncture,Phases Between a Deep Orange & Bright Yellow. Clear but with Silver Dust visible when Disturbed.,A drink made by a dwarven wife who was dying of a terminal illness but wished to take care of her husband even in death.,"Upon drinking this warm pleasant liquid, you immediately search for the nearest open bed and fall asleep. You awaken warm, dry, clean, and hunger free the following day around noon.",Any,5
Treant Tea,Dark Brown with Green Swirls,"Served in a tall earthen mug, this dark tea still has some ground Treant leaves floating around in it to steep. It is advised to drink slowly as not to swallow the leaves, as they leave a bitter aftertaste. The tea itself is quite sweet, but can be further sweetened to taste by putting a few twigs of sweetwood into the mug. It leaves a nutty aftertaste and an uncanny feeling of connectedness with everything made of wood in your general vicinity.","While slowly sipping the hot tea, you sprout small twigs and leaves from your orifices. As you continue drinking the twigs spread and your skin takes on a barklike appearance and toughness, as per the Barkskin spell, for the next hour.",Mug,2.5
Twisty,A Deep Purple Liquid with a White Yogurt Layered on Top,"Topped in a thick layer of savory yogurt, it is both a drink and meal in one. The drink itself contains the flavours of blueberries mixed in with a helping of spirits.",You feel hearty having completed the drink. You gain +1 in Constitution until your next long rest and heal {{Rand1-4}} HP per drink.,Pint,0.3
Warlock's Wasted Patron,Blue with Dark Swirls,"Burns all the way down, but has an amazing aftertaste.",You find yourself with telekinetic powers as per the Mage Hand spell until your next long rest.,Tankard,1
Water,Clear,It's Water,You feel a little better and a little more hydrated.,Glass,0
Wild Magic Brew,A Fizzy Golden Liquid with Occassional Sparkles,"Very bubbly, tastes a little sweet, and can often cause the drinker to see random sparks around them. Sometimes the sparks are even real.","Any time you try to cast a spell in the next hour, roll 1d20. On a 1, roll on the Wild Magic table.",Pint,0.4
Wyvern Wine,Green with Purple Swirls,"This drink, like absinth, has mild hallucinogenic properties. Its sweet and tangy with a slight burning aftertaste as the neurotoxin from the wyvern poison comes into contact the the soft tissue in the mouth.",Make a CON saving throw DC14 or suffer from distracting mild hallucinations. You have a -2 to all skill checks for the next two hours,Shot,8
Zozo Juice,Fiery Red Drink with Thick Orange Bubbles that make it Appear Molten in Nature.,A drink thats more like cogulated blood than an ale considering how thick it is. Bubbles crawl slowly to the surface through its sanguine blood-like depths. It is an extremely spicy drink that makes it almost unbearable to consume. Only the truly brave attempt to consume this. Drink with caution.,"Make a CON saving throw DC 18. On a failure, you are met with extreme agony as your body feels as though it's on fire. You fall prone, are stunned, and take {{Rand1-10+Rand1-10+Rand1-10+Rand1-10}} fire damage. On a success, you gain a +3 bonus to Constitution, Strength, and Intelligence (maximum of 20) and immunity to fire for the next 8 hours. Whether you fail or succeed, your tongue burns from the heat and you are unable to taste anything for the next 2 days.",Pint,5
