Category,Secondary Category,Tertiary Categories,Rarity,Attunement,Item,Cost (GP)
Blacksmith,,Black Smith,,,"Silver and Iron, powdered mixture",5
Blacksmith,,Black Smith,,,"Silver and Iron, powdered mixture",100
Blacksmith,,Black Smith,,,"Silver and Iron, powdered mixture",5
Blacksmith,,Black Smith,,,"Silver Bar, ornately carved",100
Blacksmith,,Black Smith,,,Silver powder,25
Blacksmith,,Black Smith,,,Silver powder,5
Blacksmith,,Black Smith,,,Silver Rod,10
Jewelry Shop,,Jewels,,,Azurite Adamantine Bracelet,1510
Jewelry Shop,,Jewels,,,Aquamarine Steel Necklace,502
Jewelry Shop,,Jewels,,,Quartz Cold-Iron Encrusted Bowl,50
Jewelry Shop,,Jewels,,,Spinel Adamantine Ring,600
Jewelry Shop,,Jewels,,,Sardonyx Copper Circlet,50
Jewelry Shop,,Jewels,,,Onyx Copper Ring,50
Jewelry Shop,,Jewels,,,Obsidian Electrum Circlet,30
Jewelry Shop,,Jewels,,,Peridot Copper Encrusted Dagger,501
Jewelry Shop,,Jewels,,,Ruby Lead Encrusted Dagger,5000
Jewelry Shop,,Jewels,,,Onyx Adamantine Encrusted Dagger,5050
Jewelry Shop,,Jewels,,,Sapphire Dust Bronze Bracelet,1000
Jewelry Shop,,Jewels,,,Star Rose Quartz Silver Ring,51
Jewelry Shop,,Jewels,,,Eye Agate Electrum Encrusted Dagger,35
Jewelry Shop,,Jewels,,,Carnelian Cold-Iron Encrusted Bowl,50
Jewelry Shop,,Jewels,,,Fire Opal Dust Silver Circlet,1004
Jewelry Shop,,Jewels,,,Chrysoprase Iron Circlet,50
Jewelry Shop,,Jewels,,,Diamond (10 carat) Brass Amulet,1000
Jewelry Shop,,Jewels,,,Turquoise Brass Necklace,10
Jewelry Shop,,Jewels,,,Diamond (10 carat) Brass Amulet,1000.12
Jewelry Shop,,Jewels,,,Turquoise Brass Necklace,10.12
Potions,,Healing Potion,,,Potion of Healing,50
Potions,,Healing Potion,,,Potion of Greater Healing,300
Potions,,Healing Potion,,,Potion of Superior Healing,5000
Potions,,Healing Potion,,,Supreme Healing,20000
Potions,,Poisons,,,Drow Poison,200
Potions,,Poisons,,,Burnt Othur Fumes,500
Potions,,Poisons,,,Assassin's Blood,150
Potions,,Poisons,,,Crawler Mucus,200
Potions,,Poisons,,,Essence of Ether,300
Potions,,Poisons,,,Malice,250
Potions,,Poisons,,,Midnight Tears,1500
Potions,,Poisons,,,Oil of Taggit,400
Potions,,Poisons,,,Pale Tincture,250
Potions,,Poisons,,,Purple Worm Poison,2000
Potions,,Poisons,,,Serpent Venom,200
Potions,,Poisons,,,Torpor,600
Potions,,Poisons,,,Wyvern Poison,1200
Potions,,Poisons,,,Dreamlily,1
Potions,,Poisons,,,Dragon's Blood,2000
Potions,,Poisons,,,Blood of the Lycanthrope,150
Potions,,Poisons,,,Dust of the Mummy,200
Potions,,Poisons,,,Vial of Basic Poison,100
Potions,,Poisons,,,Thessaltoxin,200
Potions,,Potions;Poisons,,,Truth Serum,150
Potions,,Potions,,,Alchemist's Fire (Flask),50
Potions,,Potions,,,Alchemist's Supplies,50
Potions,,Potions,,,Vial of Acid,25
Potions,,Potions,,,Antitoxin,50
Potions,,Potions,,,Explorer's Pack,10
Potions,,Potions,,,Poisoner's Kit,50
Potions,,Potions,,,Herbalism Kit,0.5
Potions,,Potions,,,Elixir of Health,5075
Potions,,Potions,,,Oil of Etherealness,5100
Potions,,Potions,,,Oil of Sharpness,50100
Potions,,Potions,,,Oil of Slipperiness,600
Potions,,Potions,,,Philter of Love,600
Potions,,Potions,,,Potion of Animal Friendship,300
Potions,,Potions,,,Potion of Aqueous Form,5000
Potions,,Potions,,,Potion of Clairvoyance,5000
Potions,,Potions,,,Potion of Climbing,50
Potions,,Potions,,,Potion of Comprehension,50
Potions,,Potions,,,Potion of Diminution,5000
Potions,,Potions,,,Potion of Fire Breath,300
Potions,,Potions,,,Potion of Flying,20000
Potions,,Potions,,,Potion of Gaseous Form,5000
Potions,,Potions,,,Potion of HIll Giant Strength,5000
Potions,,Potions,,,Potion of Frost Giant Strength,5000
Potions,,Potions,,,Potion of Stone Giant Strength,5000
Potions,,Potions,,,Potion of Fire Giant Strength,5000
Potions,,Potions,,,Potion of Cloud Giant Strength,5000
Potions,,Potions,,,Potion of Storm Giant Strength,5000
Potions,,Potions,,,Potion of Growth,300
Potions,,Potions,,,Potion of Heroism,5000
Potions,,Potions,,,Potion of Invisibility,20000
Potions,,Potions,,,Potion of Invulnerability,5000
Potions,,Potions,,,Potion of Longevity,20000
Potions,,Potions,,,Potion of Maximum Power,5000
Potions,,Potions,,,Potion of Mind Control,5000
Potions,,Potions,,,Potion of Mind Reading,5000
Potions,,Potions,,,Potion of Poison,300
Potions,,Potions,,,Potion of Possibility,20000
Potions,,Potions,,,Potion of Resistance,300
Potions,,Potions,,,Potion of Speed,20000
Potions,,Potions,,,Potion of Vitality,20000
Potions,,Potions,,,Potion of Watchful Rest,50
Potions,,Potions,,,Potion of Water Breathing,300
Potions,,Potions,,,Thessaltoxin Antidote,300
Potions,,Potions,,,Bottled Breath,300
Ingredients,Coastal; Swamp,Ingredients,Common,Plant,Amanita Cap,10
Ingredients,Arctic; Mountain,Ingredients,Common,Plant,Arctic Creeper,10
Ingredients,Desert; Forest; Grassland,Ingredients,Uncommon,Plant,Arrow Root,15
Ingredients,Mountain; Coastal,Ingredients,Very Rare,Plant,Basilisk Breath,25
Ingredients,Forest; Swamp,Ingredients,Very Rare,Plant,Black Sap,300
Ingredients,Forest; Swamp; Coastal,Ingredients,Rare,Plant,Blight Ichor,200
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Very Common,Plant,Bloodgrass,5
Ingredients,Coastal; Forest; Swamp,Ingredients,Rare,Plant,Blue Toadshade,20
Ingredients,Desert; Grassland,Ingredients,Common,Plant,Cactus Juice,10
Ingredients,Coastal; Underdark; Underwater,Ingredients,Rare,Plant,Chromus Slime,20
Ingredients,Coastal; Desert; Underwater,Ingredients,Rare,Plant,Cosmos Glond,20
Ingredients,Hill; Swamp; Underdark; Underwater,Ingredients,Very Rare,Plant,Devil's Bloodleaf,25
Ingredients,Desert; Grassland; Mountain,Ingredients,Common,Plant,Drakus Flower,10
Ingredients,Desert; Mountain,Ingredients,Uncommon,Plant,Dried Ephedra,15
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Rare,Plant,Elemental Water,20
Ingredients,Forest; Swamp,Ingredients,Common,Plant,Emetic Wax,10
Ingredients,Arctic; Underdark,Ingredients,Common,Plant,Fennel Silk,10
Ingredients,Arctic; Underdark,Ingredients,Rare,Plant,Fiend's Ivy,20
Ingredients,Arctic; Mountain,Ingredients,Rare,Plant,Frozen Seedlings,20
Ingredients,Desert; Forest; Grassland; Mountain; Hill; Underdark,Ingredients,Common,Bug,Giant Ant,0.5
Ingredients,Forest; Grassland; Hill,Ingredients,Uncommon,Bug,Giant Bumblebee,2
Ingredients,Arctic; Forest; Grassland; Mountain; Hill; Coastal; Swamp,Ingredients,Common,Bug,Giant Butterfly,10
Ingredients,Forest; Grassland; Hill; Coastal,Ingredients,Rare,Bug,Giant Caterpillar,1
Ingredients,Desert; Forest; Grassland; Swamp; Coastal,Ingredients,Uncommon,Bug,Giant Cicada,50
Ingredients,Desert; Forest; Grassland; Hill; Swamp,Ingredients,Rare,Bug,Giant Cricket,1
Ingredients,Arctic; Desert; Forest; Grassland; Hill,Ingredients,Uncommon,Bug,Giant Dragonfly,15
Ingredients,Desert; Grassland; Underdark,Ingredients,Very Rare,Bug,Giant Dung Beetle,45
Ingredients,Forest; Grassland; Mountain; Hill; Coastal,Ingredients,Common,Bug,Giant Firefly,1
Ingredients,Arctic; Mountain; Underdark; Swamp,Ingredients,Rare,Bug,Giant Glowworm,30
Ingredients,Grassland; Hill; Swamp,Ingredients,Very Rare,Bug,Giant Grasshopper,10
Ingredients,Forest; Mountain; Underdark,Ingredients,Uncommon,Bug,Giant Hornet,80
Ingredients,Arctic; Desert; Forest; Grassland; Hill; Mountain; Coastal,Ingredients,Very Rare,Bug,Giant Ladybug,0.5
Ingredients,Forest; Grassland; Hill; Mountain,Ingredients,Common,Bug,Giant Praying Mantis,35
Ingredients,Forest; Grassland; Hill,Ingredients,Rare,Bug,Giant Rhino Beetle,75
Ingredients,Desert,Ingredients,Common,Bug,Giant Scarab Beetle,65
Ingredients,Forest; Grassland; Mountain; Hill; Coastal,Ingredients,Common,Bug,Giant Slug,0.5
Ingredients,Forest; Grassland; Hill,Ingredients,Rare,Bug,Giant Stag Beetle,80
Ingredients,Hill; Underdark,Ingredients,Uncommon,Plant,Ginkgo Brush,15
Ingredients,Forest,Ingredients,Common,Plant,Harrada Leaf,10
Ingredients,Coastal; Grassland; Underwater,Ingredients,Common,Plant,Hyacinth Nectar,10
Ingredients,Coastal; Swamp; Underwater,Ingredients,Uncommon,Plant,Hydrathistle,15
Ingredients,Arctic; Forest; Hill,Ingredients,Uncommon,Plant,Ironwood Heart,15
Ingredients,Coastal; Grassland; Hill,Ingredients,Common,Plant,Lavender Sprig,10
Ingredients,Mountain; Underdark,Ingredients,Rare,Plant,Luminous Cap Dust,20
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Very Common,Plant,Mandrake Root,5
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Very Common,Plant,Milkweed Seeds,5
Ingredients,Arctic; Underdark,Ingredients,Very Rare,Plant,Mortflesh Powder,25
Ingredients,Forest; Grassland,Ingredients,Uncommon,Plant,Muroosa Balm,15
Ingredients,Forest; Hill,Ingredients,Uncommon,Plant,Nightshade Berries,15
Ingredients,Forest; Grassland; Swamp,Ingredients,Uncommon,Plant,Olisuba Leaf,50
Ingredients,Mountain; Swamp; Underdark,Ingredients,Rare,Plant,Primordial Balm,20
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Very Common,Plant,Quicksilver Lichen,5
Ingredients,Underdark,Ingredients,Rare,Plant,Radiant Synthseed,20
Ingredients,Hill; Mountain,Ingredients,Rare,Plant,Rock Vine,20
Ingredients,Desert; Grassland,Ingredients,Common,Plant,Scillia Beans,10
Ingredients,Arctic; Underdark,Ingredients,Rare,Plant,Silver Hibiscus,20
Ingredients,Mountain; Underdark,Ingredients,Rare,Plant,Soothsalts,150
Ingredients,Desert; Swamp,Ingredients,Uncommon,Plant,Spineflower Berries,15
Ingredients,Forest; Grassland; Hill,Ingredients,Common,Plant,Sprig of Mistletoe,10
Ingredients,Grassland; Hill,Ingredients,Very Rare,Plant,Tail Leaf,25
Ingredients,Swamp,Ingredients,Common,Plant,Theki Root,3
Ingredients,Forest,Ingredients,Uncommon,Plant,Verdant Nettle,15
Ingredients,Arctic; Desert,Ingredients,Very Rare,Plant,Voidroot,25
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Very Common,Plant,Wild Sageroot,5
Ingredients,Forest; Swamp; Coastal,Ingredients,Uncommon,Plant,Willowshade Oil,30
Ingredients,Forest; Underdark,Ingredients,Very Rare,Plant,Wisp Stalks,25
Ingredients,Coastal; Swamp; Underwater,Ingredients,Rare,Plant,Wrackwort Bulbs,20
Ingredients,Arctic; Desert; Coastal; Underwater; Forest; Grassland; Hill; Mountain; Swamp; Underdark,Ingredients,Very Common,Plant,Wyrmtongue Petals,5
Spells,Conjuration,Spells;Artificer Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Conjuration;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Acid Splash,100
Spells,Abjuration,Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Abjuration;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Defense,Blade Ward,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Booming Blade,100
Spells,Necromancy,Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Cleric: Death Domain Spells;Druid: Circle of Spores Spells;Necromancy;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Spell Sniper;Attack,Chill Touch,100
Spells,Transmutation,Spells;Druid Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Wood Elf Magic;Utility,Control Flames,100
Spells,Conjuration,Spells;Artificer Spells;Bard Spells;Druid Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Conjuration;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Wood Elf Magic;Attack;Utility,Create Bonfire,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Utility,Dancing Lights,100
Spells,Transmutation,Spells;Druid Spells;Transmutation;Cantrip,Cantrip,Wood Elf Magic;Utility,Druidcraft,100
Spells,Evocation,Spells;Warlock Spells;Bloodhunter: Order of the Profane Soul Spells;Evocation;Cantrip,Cantrip,Magic Initiate;Spell Sniper;Attack,Eldritch Blast,100
Spells,Enchantment,Spells;Wizard Spells;Cleric: Arcana Domain Spells;Enchantment;Cantrip,Cantrip,,Encode Thoughts,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Fire Bolt,100
Spells,Enchantment,Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Enchantment;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Utility,Friends,100
Spells,Evocation,Spells;Artificer Spells;Druid Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Wood Elf Magic;Attack,Frostbite,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Green-Flame Blade,100
Spells,Divination,Spells;Artificer Spells;Cleric Spells;Druid Spells;Druid: Circle of Stars Spells;Divination;Cantrip,Cantrip,Artificer Initiate;Magic Initiate;Wood Elf Magic;Utility,Guidance,100
Spells,Transmutation,Spells;Druid Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Wood Elf Magic;Utility;Movement,Gust,100
Spells,Conjuration,Spells;Druid Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Conjuration;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Spell Sniper;Wood Elf Magic;Attack,Infestation,100
Spells,Evocation,Spells;Artificer Spells;Bard Spells;Cleric Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Utility,Light,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Lightning Lure,100
Spells,Conjuration,Spells;Artificer Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Ranger: Swarmkeeper Spells;Conjuration;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Utility,Mage Hand,100
Spells,Transmutation,Spells;Artificer Spells;Druid Spells;Warlock Spells;Bloodhunter: Order of the Profane Soul Spells;Transmutation;Cantrip,Cantrip,Artificer Initiate;Magic Initiate;Spell Sniper;Wood Elf Magic;Attack,Magic Stone,100
Spells,Transmutation,Spells;Artificer Spells;Bard Spells;Cleric Spells;Druid Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Wood Elf Magic;Utility,Mending,100
Spells,Transmutation,Spells;Artificer Spells;Bard Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Utility,Message,100
Spells,Enchantment,Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Sorcerer: Aberrant Mind Spells;Enchantment;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Spell Sniper;Attack,Mind Sliver,100
Spells,Illusion,Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Illusion;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Utility,Minor Illusion,100
Spells,Transmutation,Spells;Druid Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Wood Elf Magic;Utility,Mold Earth,100
Spells,Conjuration,Spells;Artificer Spells;Druid Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Conjuration;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Wood Elf Magic;Attack,Poison Spray,100
Spells,Transmutation,Spells;Artificer Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Utility,Prestidigitation,100
Spells,Transmutation,Spells;Druid Spells;Transmutation;Cantrip,Cantrip,Spell Sniper;Wood Elf Magic;Attack,Primal Savagery,100
Spells,Conjuration,Spells;Druid Spells;Conjuration;Cantrip,Cantrip,Spell Sniper;Wood Elf Magic;Utility;Attack,Produce Flame,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Ray of Frost,100
Spells,Abjuration,Spells;Artificer Spells;Cleric Spells;Druid Spells;Abjuration;Cantrip,Cantrip,Artificer Initiate;Magic Initiate;Wood Elf Magic;Defense,Resistance,100
Spells,Evocation,Spells;Cleric Spells;Evocation;Cantrip,Cantrip,Magic Initiate;Spell Sniper;Attack,Sacred Flame,100
Spells,Necromancy;Dunamancy,Spells;Wizard: Chronurgy Magic Spells;Wizard: Graviturgy Magic Spells;Cleric: Death Domain Spells;Necromancy;Dunamancy;Cantrip,Cantrip,,Sapping Sting,100
Spells,Transmutation,Spells;Druid Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Transmutation;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Wood Elf Magic;Utility,Shape Water,100
Spells,Transmutation,Spells;Druid Spells;Transmutation;Cantrip,Cantrip,Wood Elf Magic;Attack,Shillelagh,100
Spells,Evocation,Spells;Artificer Spells;Sorcerer Spells;Wizard Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Shocking Grasp,100
Spells,Necromancy,Spells;Artificer Spells;Cleric Spells;Cleric: Death Domain Spells;Necromancy;Cantrip,Cantrip,Artificer Initiate;Magic Initiate;Utility;Healing,Spare the Dying,100
Spells,Conjuration,Spells;Artificer Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Cleric: Arcana Domain Spells;Conjuration;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Spell Sniper;Attack,Sword Burst,100
Spells,Transmutation,Spells;Cleric Spells;Transmutation;Cantrip,Cantrip,Magic Initiate;Utility,Thaumaturgy,100
Spells,Transmutation,Spells;Artificer Spells;Druid Spells;Transmutation;Cantrip,Cantrip,Artificer Initiate;Spell Sniper;Wood Elf Magic;Attack,Thorn Whip,100
Spells,Evocation,Spells;Artificer Spells;Bard Spells;Druid Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Evocation;Cantrip,Cantrip,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Magic Initiate;Spell Sniper;Wood Elf Magic;Attack,Thunderclap,100
Spells,Necromancy,Spells;Cleric Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Cleric: Death Domain Spells;Necromancy;Cantrip,Cantrip,Magic Initiate;Spell Sniper;Attack,Toll the Dead,100
Spells,Divination,Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Cleric: Arcana Domain Spells;Divination;Cantrip,Cantrip,Aberrant Dragonmark;Magic Initiate;Attack,True Strike,100
Spells,Enchantment,Spells;Bard Spells;Enchantment;Cantrip,Cantrip,Magic Initiate;Spell Sniper;Attack,Vicious Mockery,100
Spells,Evocation,Spells;Cleric Spells;Evocation;Cantrip,Cantrip,Magic Initiate;Spell Sniper;Attack,Word of Radiance,100
Spells,Abjuration,Spells;Artificer Spells;Druid Spells;Ranger Spells;Sorcerer Spells;Wizard Spells;Abjuration;1st Level Spells,1st,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Ritual Caster;Attack;Defense,Absorb Elements,300
Spells,Abjuration,Spells;Artificer Spells;Ranger Spells;Wizard Spells;Paladin: Oath of the Watchers Spells;Sorcerer: Clockwork Soul Spells;Abjuration;Ritual Spells;1st Level Spells,1st,Artificer Initiate;Ritual Caster;Utility,Alarm,300
Spells,Enchantment,Spells;Bard Spells;Druid Spells;Ranger Spells;Cleric: Nature Domain Spells;Enchantment;1st Level Spells,1st,Fey Touched;Magic Initiate;Ritual Caster;Utility,Animal Friendship,300
Spells,Abjuration,Spells;Warlock Spells;Paladin: Oath of Conquest Spells;Bloodhunter: Order of the Profane Soul Spells;Abjuration;1st Level Spells,1st,Magic Initiate;Ritual Caster;Healing;Defense,Armor of Agathys,300
Spells,Conjuration,Spells;Warlock Spells;Bloodhunter: Order of the Profane Soul Spells;Sorcerer: Aberrant Mind Spells;Conjuration;1st Level Spells,1st,Magic Initiate;Ritual Caster;Attack,Arms of Hadar,300
Spells,Enchantment,Spells;Bard Spells;Cleric Spells;Paladin: Oath of Vengeance Spells;Cleric: Grave Domain Spells;Sorcerer: Divine Soul Spells;Enchantment;1st Level Spells,1st,Fey Touched;Magic Initiate;Ritual Caster;Utility;Attack,Bane,300
Spells,Divination,Spells;Druid Spells;Ranger Spells;Divination;1st Level Spells,1st,Fey Touched;Ritual Caster;Utility,Beast Bond,300
Spells,Enchantment,Spells;Cleric Spells;Paladin Spells;Cleric: Life Domain Spells;Sorcerer: Divine Soul Spells;Enchantment;1st Level Spells,1st,Fey Touched;Magic Initiate;Ritual Caster;Utility;Attack;Defense,Bless,300
Spells,Evocation,Spells;Sorcerer Spells;Wizard Spells;Warlock: The Fiend Spells;Cleric: Light Domain Spells;Warlock: The Genie (Efreeti) Spells;Druid: Circle of Wildfire Spells;Evocation;1st Level Spells,1st,Aberrant Dragonmark;Magic Initiate;Ritual Caster;Attack,Burning Hands,300
Spells,Transmutation,Spells;Artificer Spells;Sorcerer Spells;Wizard Spells;Transmutation;1st Level Spells,1st,Aberrant Dragonmark;Artificer Initiate;Magic Initiate;Ritual Caster;Attack,Catapult,300
Spells,Necromancy,Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Necromancy;1st Level Spells,1st,Magic Initiate;Ritual Caster;Shadow Touched;Utility,Cause Fear,300
Spells,Abjuration,Spells;Cleric Spells;Paladin Spells;Abjuration;Ritual Spells;1st Level Spells,1st,Magic Initiate;Ritual Caster;Utility,Ceremony,300
Spells,Evocation,Spells;Sorcerer Spells;Evocation;1st Level Spells,1st,Aberrant Dragonmark;Magic Initiate;Ritual Caster;Attack,Chaos Bolt,300
Spells,Enchantment,Spells;Bard Spells;Druid Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Cleric: Trickery Domain Spells;Bloodhunter: Order of the Profane Soul Spells;Ranger: Fey Wanderer Spells;Enchantment;1st Level Spells,1st,Aberrant Dragonmark;Fey Touched;Magic Initiate;Ritual Caster;Utility,Charm Person,300
Spells,Evocation,Spells;Sorcerer Spells;Wizard Spells;Evocation;1st Level Spells,1st,Aberrant Dragonmark;Magic Initiate;Ritual Caster;Attack,Chromatic Orb,300
Spells,Illusion,Spells;Sorcerer Spells;Wizard Spells;Illusion;1st Level Spells,1st,Aberrant Dragonmark;Magic Initiate;Ritual Caster;Shadow Touched;Utility,Color Spray,300
Spells,Enchantment,Spells;Cleric Spells;Paladin Spells;Warlock: The Fiend Spells;Cleric: Knowledge Domain Spells;Paladin: Oath of the Crown Spells;Paladin: Oath of Conquest Spells;Cleric: Order Domain Spells;Enchantment;1st Level Spells,1st,Fey Touched;Magic Initiate;Ritual Caster;Utility,Command,300
Spells,Enchantment,Spells;Paladin Spells;Paladin: Oath of the Crown;Enchantment;1st Level Spells,1st,Fey Touched;Attack;Utility,Compelled Duel,300
Spells,Divination,Spells;Bard Spells;Sorcerer Spells;Warlock Spells;Wizard Spells;Bloodhunter: Order of the Profane Soul Spells;Divination;Ritual Spells;1st Level Spells,1st,Aberrant Dragonmark;Fey Touched;Magic Initiate;Ritual Caster;Utility,Comprehend Languages,300
Spells,Transmutation,Spells;Cleric Spells;Druid Spells;Paladin: Oath of the Open Sea Spells;Warlock: The Fathomless Spells;Transmutation;1st Level Spells,1st,Magic Initiate;Ritual Caster;Utility,Create or Destroy Water,300
Spells,Evocation,Spells;Artificer Spells;Bard Spells;Cleric Spells;Druid Spells;Paladin Spells;Ranger Spells;Cleric: Life Domain Spells;Warlock: The Celestial Spells;Druid: Circle of Wildfire Spells;Sorcerer: Divine Soul Spells;Evocation;1st Level Spells,1st,Artificer Initiate;Magic Initiate;Ritual Caster;Healing,Cure Wounds,300
Spells,Divination,Spells;Cleric Spells;Paladin Spells;Warlock: The Genie Spells;Divination;1st Level Spells,1st,Fey Touched;Magic Initiate;Ritual Caster;Utility,Detect Evil and Good,300
